=========QUERY 1 PERFORMANCE TESTING=========


BASE QUERY
Elapsed Time: 0.18779899994842708
Elapsed Time: 0.18223740003304556
Elapsed Time: 0.18166349997045472
Elapsed Time: 0.1815358999883756
Elapsed Time: 0.18023059994447976
Elapsed Time: 0.18440470000496134
Elapsed Time: 0.18445619998965412
Elapsed Time: 0.18205379997380078
Elapsed Time: 0.18257309996988624
Elapsed Time: 0.18237270001554862
Elapsed Time: 0.18140369997126982
Elapsed Time: 0.18125120003242046
Elapsed Time: 0.18133259995374829
Elapsed Time: 0.18110550002893433
Elapsed Time: 0.1818782000336796
Elapsed Time: 0.18112769996514544
Elapsed Time: 0.1803207999910228
Elapsed Time: 0.18054729996947572
Elapsed Time: 0.18288370000664145
Elapsed Time: 0.18121890001930296
Elapsed Time: 0.18081370001891628
Elapsed Time: 0.1810760999796912
Elapsed Time: 0.18192990001989529
Elapsed Time: 0.18043590005254373
Elapsed Time: 0.1811405000044033
Elapsed Time: 0.18131169996922836
Elapsed Time: 0.18079399998532608
Elapsed Time: 0.1808282000129111
Elapsed Time: 0.1908675999729894
Elapsed Time: 0.18096929998137057
Elapsed Time: 0.18133449996821582
Elapsed Time: 0.18103310000151396
Elapsed Time: 0.18183190003037453
Elapsed Time: 0.18104240001412109
Elapsed Time: 0.18101350002689287
Elapsed Time: 0.18158100004075095
Elapsed Time: 0.18240479996893555
Elapsed Time: 0.18073369999183342
Elapsed Time: 0.1822680999757722
Elapsed Time: 0.18084310000995174
Elapsed Time: 0.18162180000217631
Elapsed Time: 0.18696949997683987
Elapsed Time: 0.18057989998487756
Elapsed Time: 0.1811716000083834
Elapsed Time: 0.19318740000016987
Elapsed Time: 0.1806609000195749
Elapsed Time: 0.18101770000066608
Elapsed Time: 0.18070649995934218
Elapsed Time: 0.18738280003890395
Elapsed Time: 0.1819629999808967


SNOWFLAKE QUERY
Elapsed Time: 0.30359650001628324
Elapsed Time: 0.40593140001874417
Elapsed Time: 0.308404499955941
Elapsed Time: 0.3092261999845505
Elapsed Time: 0.30960509995929897
Elapsed Time: 0.3096172999939881
Elapsed Time: 0.3111831999849528
Elapsed Time: 0.31503449997399
Elapsed Time: 0.3086028000107035
Elapsed Time: 0.3127890999894589
Elapsed Time: 0.3068322000326589
Elapsed Time: 0.30871680000564083
Elapsed Time: 0.31046980002429336
Elapsed Time: 0.30818880000151694
Elapsed Time: 0.31468050001421943
Elapsed Time: 0.3107472999836318
Elapsed Time: 0.30801410001004115
Elapsed Time: 0.4106141000520438
Elapsed Time: 0.3091318999649957
Elapsed Time: 0.3069060000125319
Elapsed Time: 0.316389599989634
Elapsed Time: 0.30767730000661686
Elapsed Time: 0.3131948999944143
Elapsed Time: 0.3121925999876112
Elapsed Time: 0.3129581999965012
